"Tweet";"C1";"C2";"C3";"C4";"C5";"CLUSTER"
" INCREIBLE CONSUMIDOR DEFIENDA INSTITUCION RT HAYA";"0";"0";"0";"0";"0";"C5"
" SERVICIO RT CLASS BUSINESS SEGUIMOS PESIMO";"0";"0";"0";"1";"0";"C4"
" NY ASIENTOS HIJO PESIMO SEPARADO RT AYER SERVICIO VIAJO TENIAN";"0";"0";"0";"1";"0";"C4"
" PESIMO RT SISTEMA ENTREGA EQUIPAJE";"0";"0";"2";"0";"1";"C3"
" CENTER ATENCION CALL PEDIR MOMENTO PEOR EMOCIONAL SERVICIO MASCOTA TENIDO";"2";"0";"1";"2";"0";"C4"
" SERVICIO COMIDA DEFICIENTE ADEMAS DAR MIERDA";"0";"0";"0";"1";"0";"C4"
" SERVICIO LATAM MEJOR EL COMODIDAD IGUAL";"0";"0";"0";"1";"1";"C5"
" POSITIVO CLIENTES HICIERON PORQUE OHH NAD NULA RESPONSABILIDAD SERVICIO";"0";"0";"0";"1";"0";"C4"
" MONT HOY CASI PAGUE SANTIAGO-PUERTO QUIERE VIAJE AGUA BODEGA EQUIPAJE PIE VIAJO";"0";"1";"2";"0";"0";"C3"
" PRECIOS SE ONDA TARAPOTO PESIMO DOLARES AGUA DAN RT QUE SERVICIO";"0";"0";"0";"1";"0";"C4"
" COLMO ES MALOS AGUA CADA RT PEOR VA COBRAN DIA SERVICIO";"0";"1";"0";"1";"0";"C4"
" MEJORE ESTEN SERVICI QUIZAS PAGADOS OJALA CORRIJA DESMOTIVADOS";"0";"0";"0";"1";"0";"C4"
" COLMO ES MALOS AGUA CADA VA COBRAN DIA SERVICIO";"0";"1";"0";"1";"0";"C4"
" UDS REALMENTE DESEAR RESPONDAN OJALA SERVICIO";"0";"0";"0";"1";"0";"C4"
" SERVICIO CANCELADOS VUELOS REEMBOLSOS ADEMAS";"0";"1";"0";"1";"0";"C4"
" CHILE ARGENTINOS LATAM ESTOS PELOTUDOS PASAJES";"0";"0";"0";"0";"1";"C5"
" GRAVE INSIGNE NUESTRO ENTERANDOME SERVICIO";"0";"0";"0";"1";"0";"C4"
" SERVICIO EXCELENTE ASISTIRTE PARA";"0";"0";"0";"1";"0";"C4"
" PLASTICO BUEN LATAM MIERDA HUASOS INEFICIENTE SERVICIO GUITARRAS FALTO";"0";"0";"0";"1";"1";"C5"
" EJEMPLAR CUMPLIDA AEROLINEA";"0";"0";"0";"0";"0";"C5"
" PAGARLO CUPONES COBRAN VALE COST FLEX LATAM RT LOW SERVICIO VERSO TARIFA UPGRADE";"0";"6";"0";"1";"1";"C2"
" PAGARLO CUPONES COBRAN VALE AT COST FLEX LATAM HORRIBLE CLIENTE LOW SERVICIO VERSO TARIFA UPGRADE";"0";"6";"0";"2";"1";"C2"
" IMPORTA CONSECUENTE SLOGAN CLIENTE PEOR SERVICIO DIA LATAM PUBLICIDAD";"0";"0";"0";"2";"1";"C4"
" NUESTRAS GRAVE INSIGNE GUIT RT NUESTRO ENTERANDOME SERVICIO";"0";"0";"1";"1";"0";"C4"
" TICKET DECIR FINAL DIERON MISMO VENTA PUEDO SERVICIO COMPRE SOLUCION";"0";"0";"1";"1";"0";"C4"
" GRAVE INSIGNE NUESTRO NUESTRA ENTERANDOME SERVICIO";"0";"0";"0";"1";"0";"C4"
" NY ASIENTOS HIJO PESIMO AYER SEPAR SERVICIO VIAJO TENIAN";"0";"0";"0";"1";"0";"C4"
" ACPETO ESPERO UNA MISERABLES DOLARES OFRECEN MIERDA NO SERVICIO COMPENSACION";"0";"1";"0";"1";"0";"C4"
" PAGINA DESASTROSA RT ADREDE";"0";"0";"0";"1";"1";"C5"
" ESTAN DESASTRE RECLAMOS RT OBVIAMENTE COLAOSADOS";"1";"0";"0";"0";"0";"C1"
" PAGUES CAMBIAN RT IGUAL NO DESPUES";"0";"1";"0";"0";"0";"C2"
" NUNCA SOLOS RT MENOR VIAJAR AÑOS DICE";"0";"0";"0";"0";"0";"C5"
" MAMA ARRUINARON LLAMARON PAGAR CUMPLEA RT VIAJARAN TUVO BAJARON SERVICIO LOS ÑOS";"0";"1";"0";"1";"0";"C4"
" PAGUES CAMBIAN IGUAL NO DESPUES";"0";"1";"0";"0";"0";"C2"
" ESTAN OBVIAMENTE COLAOSADOS DESASTRE RECLAMOS";"1";"0";"0";"0";"0";"C1"
" NACIONAL VERGUENZA EMPRESA";"0";"0";"0";"0";"0";"C5"
" ADREDE PAGINA DESASTROSA";"0";"0";"0";"1";"1";"C5"
" MAMA ARRUINARON LLAMARON PAGAR VIAJARAN TUVO BAJARON SERVICIO LOS CUMP";"0";"1";"0";"1";"0";"C4"
" NUNCA SOLOS MENOR VIAJAR AÑOS DICE";"0";"0";"0";"0";"0";"C5"
" NI SECNAC COSQUILLAS INMUNES SINVERGUENZAS";"0";"0";"0";"0";"0";"C5"
" MISERIA ESTOS DESTROZ DARAN LAVAN MANOS COMPENSACION";"0";"2";"1";"0";"0";"C2"
" MALO RT VUELES";"0";"0";"0";"0";"0";"C5"
" PEDORRA SE PIERDAS VOLVIERON NO EMPRESA";"0";"0";"0";"0";"0";"C5"
" LOS NO EQUIVOCARON LOW TURROS SERVICE ES COST";"0";"1";"0";"0";"0";"C2"
" CASO SRES LLEVA RT NOVEDAD";"0";"0";"0";"1";"0";"C4"
" CASO SRES LLEVA NOVEDAD";"0";"0";"0";"1";"0";"C4"
" ROMPEN CANDY ALCANZA EQUIPAJE VIAJEN COMPENSACION";"0";"1";"1";"0";"0";"C3"
" NUNCA DEPENDENCIAS LLEVAN EMPLEADOS FUNCIONAN USTEDES";"0";"0";"0";"1";"0";"C4"
" MALO VUELES";"0";"0";"0";"0";"0";"C5"
" VIAJA RESPONDEN EQUIPAJE DESTROZOS";"0";"0";"2";"0";"0";"C3"
" HUEONES CAZA RT SINVERGUENZAS";"0";"0";"0";"0";"0";"C5"
" CAZA SINVERGUENZAS HUEONES";"0";"0";"0";"0";"0";"C5"
" PRECIOS ES PESIMO B'RT CAROS MALTRATADAS SERVICIO MALETAS TERMINAN ABUSO";"0";"1";"0";"1";"0";"C4"
" LOS PRECIOS PROMO MEGA MISMO";"0";"1";"0";"0";"0";"C2"
" VALIJA INFORMAN CUANDO B'RT DIAS PIERDEN";"0";"0";"0";"1";"0";"C4"
" IMPORTA ASIENTO SIN";"0";"0";"0";"0";"0";"C5"
" IMPORTA RUSIA INCLUIDA DOLARES AGUA IMAGINO EMPEZARA AHORA B'BUENO SACAR PASAJES";"0";"0";"0";"0";"0";"C5"
" EXCEPCION REPROGRAMAN PENALIDAD ACABAN 9, CUBA NO DIFERENCIA ABONANDO TARIFA SALIR";"0";"1";"0";"0";"0";"C2"
" MINIMO INCONVENIENTE UNA ATENCION SNACK NO SORPRENDE ME SIRVAN";"0";"0";"0";"1";"0";"C4"
" UNA DISCULPA MAIL VIAJE REALMENTE MES LLAMADO OFRECIENDO HACE PENA CASI SOLUCION";"0";"0";"0";"0";"0";"C5"
" AUTOCRATICA FRECUENTE RESPUESTA RECIBIR APENA PASAJERA INJUSTO SOLUCION";"0";"0";"0";"0";"0";"C5"
" DICIENDO IGNORANDO VUELTAS VAN MIL MENTIRAS VIAJE AVISENMELO IGNORARON USTEDES SI";"0";"0";"0";"0";"0";"C5"
" AHORA POR SOLUCIONES RESPONDEN DAN";"0";"0";"0";"0";"0";"C5"
" DE HORAS RESOL ESTUVE ATENTO RESPETO SUGERIMOS AYER FALTA DOCE TE";"0";"0";"0";"2";"0";"C4"
" MANERA CONVERSACION CREO ES HILO RESPONDEN IMPOSIBLE SOLUCIONAR DISTINTAS";"1";"0";"0";"0";"0";"C1"
" QUIENN LAS LA MOLESTIAS RESPETO OCASIONADAS FALTA INDEMNIZA";"0";"0";"0";"1";"0";"C4"
" PERDI TRATAMIENTO LARGO DEMORO ESAS PARA PEOR CONFLICTO HORAS RESOLVIERON";"0";"0";"1";"1";"0";"C4"
" UNA COMUNICACION EVIDENTEMENTE INTERNA LASTIMA CORRESPONDE DERECHOS DENUNCIA";"0";"0";"0";"0";"0";"C5"
" SI AYUDAN RESPONDEN SIEMPRE MISMO";"0";"0";"0";"0";"0";"C5"
" GENTE AYUDA ATIENDAN ASCO CAMBIAR TELEFONO TIPO";"2";"0";"1";"0";"0";"C1"
" AFECTADOS PASAJEROS B'RT DEMORADOS COMUNICADO ASAMBLEAS CANCELADOS";"0";"1";"0";"0";"0";"C2"
" ASESORANDO INCONVENIENTE RESPONDIERON NECESITO RESOLVERME ESTABAN ME TERMINEN";"0";"0";"0";"0";"0";"C5"
" PEDIMOS CHICOS PLATO PESITOS CONFORMAMOS PERO CAPITAN DIEZ GOURMET ESPACIO";"0";"0";"0";"0";"0";"C5"
" MENTIROSA CHORRAAAAAAAA LA AEROLINEA UNIVERSO";"0";"0";"0";"0";"0";"C5"
" DURANTE HORAS PE9SIMO VIAJE DAN CARAMELO B'EL SERVICIO COMBUSTIBLE ESPERA ABASTECIMIENTO XL1368";"0";"0";"0";"3";"0";"C4"
" BORDO PROVISIONES CUENTAN SERVICIO COMIDA";"0";"0";"0";"1";"0";"C4"
" PASAJE PLATA KM COMPRAR TAMBIEN HACES ESFUERZO BARATO CON COMO ROBAN FUERA";"0";"0";"0";"0";"0";"C5"
" CASO SE COMPLEJIDAD RESPONDE CERT NO TODO HASTA SOLICITARON PRESENTO";"0";"0";"0";"1";"0";"C4"
" CONSERVAR PRIVACIDAD ENVIEN DM DATOS";"0";"0";"0";"0";"1";"C5"
" PEDIMOS DEBIDO INFORMACION FAVOR CONTIENE PERSONAL ELIMINES TE HOLA";"0";"0";"0";"0";"0";"C5"
" MALETA INFORMAR YA RECUPERAR VAN HIZO MISMO AYER COMUNICAR RECLAMO SUCEDE";"0";"0";"1";"0";"0";"C3"
" MALETA MAMA UIO MI LLEGA AYER LLEGO HOLA";"0";"0";"1";"0";"0";"C3"
" CARGO ROBAR B'COMO INMORALES VERGUENZA USTEDES COMO CONCIENCIA DICE";"0";"0";"1";"0";"0";"C3"
" MALETA INTERIOR CASO ENVIADO LAMEMTABLE LLEGO AGENTES SERVICIO CASA DETALLE FALTAN";"0";"0";"1";"2";"0";"C4"
" REVISARE CONTEN EQUIPAJE MES APAREZCA PERDIDO B'A LLEGA AHORA CASA ESPERA";"0";"0";"2";"1";"0";"C3"
" TICKET HORAS B'RT CONTACTARLOS SIDO CAMBIO TRATANDO POSIBLE";"0";"0";"0";"1";"0";"C4"
" CHILE MANTIENEN AVIONES EXTRANJEROS CUANDO IMAGINEN SOLUCIONAN";"0";"0";"0";"0";"0";"C5"
" CHILE ESPERANDO CHECKING REGRESO APARECE RESPUESTA CODIGO RESERVA";"0";"0";"0";"0";"0";"C5"
" CASO ABIERTO SRES B'RT LLEVA 5,5 MESES NOVEDAD";"0";"0";"0";"2";"0";"C4"
" B'SRES CASO ABIERTO LLEVA 5,5 MESES NOVEDAD";"0";"0";"0";"2";"0";"C4"
" PENSAR QUIERO SEGURIDAD GENTE POR CUESTA DIOS AEREA NO INEPTA";"0";"0";"0";"0";"0";"C5"
" DESASTRE GASTE B'RT SERVICIO TAL";"0";"1";"0";"1";"0";"C4"
" DESASTRE GASTE SERVICIO TAL";"0";"1";"0";"1";"0";"C4"
" SEGURIDAD PELEA HICIERON DICEN ETERNA SOLUCION";"0";"0";"0";"0";"0";"C5"
" ESPERO RESPUESTA HACE USTEDES MIL HIJOS DELINCUENTES PUTAS DE AÑOS QUE";"0";"1";"0";"0";"0";"C2"
" PONEN IMPORTAN CLIENTES B'LO DECADAS EMPRESA PLAZO";"0";"0";"0";"0";"0";"C5"
" DEFINA SON ESPERANDO PAGARME YA SIII B'RT JUEZ";"0";"1";"0";"0";"0";"C2"
" DEFINA SON ESPERANDO PAGARME YA SIII JUEZ LADRONES";"0";"2";"0";"0";"0";"C2"
" LUCHA RESIGNES DE NUEVO COMPRAR LADRONZUELOS B'NO ANDA MANERAS TODAS VIENDO";"0";"1";"1";"0";"0";"C3"
" QUIERO NI SON MENCIONARLO B'DIOS NO TENGAN JORGE BASURA VERDADERO";"0";"0";"0";"0";"0";"C5"
" PUEDAS CUANDO HAGAS VIAJAR LADRONES";"0";"1";"0";"0";"0";"C2"
" NIVEL CASO ACA B'POBRE OSTENTA TRISTE SEÑOR DELINCUENCIA SERGIUM";"0";"1";"0";"1";"0";"C4"
" DAMOS CHUPAN BOLA HUEVO DM SUS B'ESTIMADO PRIVADO SERGIUM MANDENOS";"0";"0";"0";"0";"0";"C5"
" HUEONES B'RT CAZA SINVERGUENZAS";"0";"0";"0";"0";"0";"C5"
" SEGURIDAD ESTOS DELINCUENTES PERFECCION EMPRESA AEREA CONFIABLES B'JORGE ILUSTRA";"0";"1";"0";"0";"0";"C2"
" MISERIA ESTOS DESTROZ DARAN LAVAN MANOS COMPENSACION";"0";"2";"1";"0";"0";"C2"
" MALO B'RT VUELES";"0";"0";"0";"0";"0";"C5"
" MALO VUELES";"0";"0";"0";"0";"0";"C5"
" VIAJEN PERDERAN";"0";"0";"0";"0";"0";"C5"
" VIAJA RESPONDEN EQUIPAJE DESTROZOS";"0";"0";"2";"0";"0";"C3"
" CAZA SINVERGUENZAS HUEONES";"0";"0";"0";"0";"0";"C5"
" ESTAN COLOMBIA SOLUCIONA";"1";"0";"0";"0";"0";"C1"
" TENGAS VIAJAMOS MIERDA POBRES LEO SUERTE JET";"0";"0";"0";"0";"0";"C5"
" TAMPOCO MIERDA";"0";"0";"0";"0";"0";"C5"
" PERDIERON SUERTE EQUIPAJE BAJON ROBARON LUCHANDO PAGUEN";"0";"0";"3";"0";"0";"C3"
" TUVE CANCELAR DESASTRE PASAJE UN B'RT MEDICAS DINERO MESES RAZONES DEVUELVEN";"0";"0";"0";"1";"0";"C4"
" NO HOY ESPECIAL EN COST VERGONZOSOS EL CIAS COMPETENCIA SERVICIO LAS LOW QUIEREN DEPRIMENTE LATAM PORQUE ES";"0";"1";"0";"1";"1";"C5"
" AIRES BUENOS INMOBILIARIO LATAM CORPORATIVOS PLACER REAL SERVICIO EL CONCEPTO BROKERS";"0";"0";"0";"1";"1";"C5"
" CUELGAN LLAMADAS CALLCENTER B'RT ATIENDEN DESMEJORADO PARECE SERVICIO CONTEO";"0";"0";"0";"1";"0";"C4"
" NISIQUIERA DEVOLUCION ENTREGA CANTIDAD B'RT VISTO DEADAS EXCESIVO SERVICIO EL";"0";"1";"1";"1";"0";"C4"
" SERVICIO LLAMADAS FRECUENTE OPERADORES NOTADO HE COLGAR";"0";"0";"0";"1";"0";"C4"
" ESPERE PARE OFRECEN LLAMADO DM RESPUESTA SERVICIO SU TWITTER";"0";"0";"0";"1";"0";"C4"
" CUELGAN LLAMADAS CALLCENTER CONTROL ATIENDEN DESMEJORADO PARECE SERVICIO";"0";"0";"0";"1";"0";"C4"
" HOY PESIMO DISCRIMINAN B'RT LATAM ATRASAN EXTRA POSTVENTA SERVICIO LAN ÑO";"0";"1";"0";"1";"1";"C5"
" NO ESPALDA PESIMO CON EL HAY B'RT ACCIONAR ESTAN SERVICIO LAS ESTATICAS LLEGAS PUEDEN LA LATAM DE SILLAS ES QUE";"1";"0";"0";"1";"1";"C5"
" SOBREVENTA PESIMO B'RT CLIENTE SUELEN SERVICIO LATAM EL PASAJES";"0";"0";"0";"2";"1";"C4"
" CHILE B'RT SERVICIO VIAJAR NYC NO ESTOY SOBREVENDIDO JUNTOS PÉSIMO TRANSITO POSIBLE";"0";"0";"0";"1";"0";"C4"
" SIQUIERA DEVOLUCION CANTIDAD VISTO DECADAS EXCESIVO SERVICIO EL NINGUUN";"0";"1";"0";"1";"0";"C4"
" HOY CLIENTES PESIMO LATAM DISCRIMINATORIOS ATRASAN EXTRA POSTVENTA SERVICIO LAN ÑO";"0";"1";"0";"1";"1";"C5"
" CHILE ERROR ENMIENDAN SERVICIO VIAJAR NYC NO ESTOY SOBREVENDIDO JUNTOS PÉSIMO TRANSITO COMO POSIBLE";"0";"0";"0";"1";"0";"C4"
" ATENCION ESCLAVOS ANTOJOS B'HASTA VERGUENZA SERVICIO";"0";"0";"0";"2";"0";"C4"
" TICKET HORAS UN INTERESA LAMENTABLE NO VENDEN SERVICIO LLAMAN FACTURAR";"1";"0";"0";"2";"0";"C4"
" SERVICIO SECTOR B'EL CAMBIANDO COMPORTAMIENTO CLIENTE SALUD ATENCION";"0";"0";"0";"3";"0";"C4"
" PAGAR PODES RECOMENDE OCUPAR HACE AUNQUE EXTRA EMERGENCIA SALIDA VACIA AÑOS B'EN";"0";"2";"0";"0";"0";"C2"
" ABORDO ASEMEJA EXCELENTE DESEAR REALMENTE EQUIPAJE SERVICIO";"0";"0";"1";"1";"0";"C4"
" VALE PERDER SIRVE LEALTAD DM TELEFONO CLIENTE LLAMAN AÑOS B'CUANDO";"2";"1";"1";"1";"0";"C1"
" SERVICIO EL CADA PEOR DIA";"0";"0";"0";"1";"0";"C4"
" SERVICIO EL CADA PEOR DIA";"0";"0";"0";"1";"0";"C4"
" PERMITE OFRECERTE B'NUESTRO SERVICIO CALIDAD ALTA DOMINIO";"0";"0";"0";"1";"0";"C4"
" SIQUIERA MAIL HABLAN RESPONDEN BROMA SERVICIO";"0";"0";"0";"1";"0";"C4"
" LLEVO ACUMULEN CASO PIDIENDO KILOMETROS VIAJE ONEWORLD PEOR SERVICIO MESES CXADA COMPARE HECHO";"0";"0";"0";"3";"0";"C4"
" LUJO LOW VEZ B'CADA COBRANDO PEOR SERVICIO FUERAN ENTREGAN COST";"0";"2";"0";"1";"0";"C2"
" GRACIAS BICI LLEGO SERVICIO TRIPULACION NENE";"0";"0";"0";"1";"0";"C4"
" MALO CASO BUENO SERVICIO LATAM";"0";"0";"0";"2";"1";"C4"
" ESPERANDO ERROR HABILES REPROCESO DECADAS LLEVO SERVICIO REGISTRAR EL HECHO";"0";"0";"0";"1";"0";"C4"
" DICIENDO ESTAN PG LATAM APARECE EXISTE TIPO SERVICIO";"1";"0";"0";"1";"1";"C5"
" JUEVES RESPONDIERON B'RT HORRIBLE PASADO CLIENTE SERVICIO";"0";"0";"0";"2";"0";"C4"
" COBRARON ILEGAL RT ALTAMENTE TARJETA VUELTA COMIDA EFECTIVO GRATIS";"0";"1";"0";"0";"0";"C2"
" FINAL CONFORMAR AL RESPONDIERON B'RT DAN BURDO DEBES BIEN ESO VERGUENZA";"0";"0";"0";"0";"0";"C5"
" SERVICIO JUEVES B'HORRIBLE RESPONDIERON PASADO CLIENTE";"0";"0";"0";"2";"0";"C4"
" LLAMARON HICE PESIMO EQUIPAJE ROMPIERON JAMAS VUELTA SERVICIO RECLAMO";"0";"0";"1";"1";"0";"C4"
" SERVICIO IGUAL B'RT";"0";"0";"0";"1";"0";"C4"
" PERDON LAN SUERTE PORQUERIA SERVICIO";"0";"0";"0";"1";"0";"C4"
" LOW VOLVERSE MIERDA PRETENDER LUEGO ALGUIEN B'A SERVICIO LATAM COST";"0";"1";"0";"1";"1";"C5"
